line_id,language,speaker_id,text,voice_link,tags,context
L0075,tr,CHR_EMRE,"Merhaba, gorev 625 bolgesinde basliyor.",audio/voice_L0075.wav,"['dialogues_main', 'lang_tr']",dialogues_main
L0076,ko,CHR_HANA,[E] 키를 눌러 문을 여세요.,audio/voice_L0076.wav,"['dialogues_main', 'lang_ko']",dialogues_main
L0077,zh,CHR_AKIRA,警告：<b>反应堆</b>温度过高。,,"['dialogues_main', 'lang_zh']",dialogues_main
L0078,en,CHR_AELA,Press [E] to activate beacon %PLAYER_NAME%.,audio/voice_L0078.wav,"['dialogues_main', 'lang_en']",dialogues_main
L0079,fr,CHR_LUCIEN,Alerte: le signal <b>orbital</b> chute vite.,,"['dialogues_main', 'lang_fr']",dialogues_main
L0080,de,CHR_GRETA,Bitte bringe %PLAYER_NAME% zum Handelsposten.,audio/voice_L0080.wav,"['dialogues_main', 'lang_de']",dialogues_main
L0081,es,CHR_SANTIAGO,El comerciante espera a %PLAYER_NAME% en la plaza.,,"['dialogues_main', 'lang_es']",dialogues_main
L0082,it,CHR_VIOLA,Premi [E] per confermare il percorso.,audio/voice_L0082.wav,"['dialogues_main', 'lang_it']",dialogues_main
L0083,pt,CHR_DUARTE,Perigo: o <b>nucleo</b> esta sobrecarga.,,"['dialogues_main', 'lang_pt']",dialogues_main
L0084,pl,CHR_MAJA,"Nacisnij [E], aby otworzyc wlaz.",audio/voice_L0084.wav,"['dialogues_main', 'lang_pl']",dialogues_main
L0085,ja,CHR_AKIRA,[E]を押してゲートを開いてください。,audio/voice_L0085.wav,"['dialogues_main', 'lang_ja']",dialogues_main
L0086,tr,CHR_EMRE,Tehlike: <b>reaktor</b> dengesiz durumda.,audio/voice_L0086.wav,"['dialogues_main', 'lang_tr']",dialogues_main
L0087,ko,CHR_HANA,%PLAYER_NAME% 는 중앙 통로로 이동하세요.,,"['dialogues_main', 'lang_ko']",dialogues_main
L0088,zh,CHR_EMRE,%PLAYER_NAME%请前往中央平台。,audio/voice_L0088.wav,"['dialogues_main', 'lang_zh']",dialogues_main
L0089,en,CHR_AELA,Warning: <b>reactor</b> heat reached 723.,,"['dialogues_main', 'lang_en']",dialogues_main
L0090,fr,CHR_LUCIEN,Appuie sur [E] pour ouvrir le terminal.,audio/voice_L0090.wav,"['dialogues_main', 'lang_fr']",dialogues_main
L0091,de,CHR_GRETA,"Druecke [E], um das Modul zu starten.",,"['dialogues_main', 'lang_de']",dialogues_main
L0092,es,CHR_SANTIAGO,El comerciante espera a %PLAYER_NAME% en la plaza.,audio/voice_L0092.wav,"['dialogues_main', 'lang_es']",dialogues_main
L0093,it,CHR_VIOLA,"Ciao, la missione richiede accesso al livello 751.",,"['dialogues_main', 'lang_it']",dialogues_main
L0094,pt,CHR_DUARTE,"Ola, a missao principal muda no setor 758.",audio/voice_L0094.wav,"['dialogues_main', 'lang_pt']",dialogues_main
L0095,pl,CHR_MAJA,"Czesc, misja boczna jest przy punkcie 765.",audio/voice_L0095.wav,"['dialogues_main', 'lang_pl']",dialogues_main
